#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2019,01,01,00,08,185,3.6,4.4,99.00,99.00,99.00,999,9999.0,17.3,16.0,999.0,99.0,99.00
2019,01,01,01,08,178,3.0,3.8,99.00,99.00,99.00,999,9999.0,17.0,15.9,999.0,99.0,99.00
2019,01,01,02,08,218,1.0,1.5,99.00,99.00,99.00,999,9999.0,17.1,16.0,999.0,99.0,99.00
2019,01,01,03,08,251,1.3,2.4,99.00,99.00,99.00,999,9999.0,16.8,16.2,999.0,99.0,99.00
2019,01,01,04,08,225,2.1,2.7,99.00,99.00,99.00,999,9999.0,16.8,15.1,999.0,99.0,99.00
2019,01,01,05,08,219,3.1,4.1,99.00,99.00,99.00,999,9999.0,16.8,15.3,999.0,99.0,99.00
2019,01,01,06,08,232,4.6,5.9,99.00,99.00,99.00,999,9999.0,16.8,15.4,999.0,99.0,99.00
2019,01,01,07,08,238,4.1,5.8,99.00,99.00,99.00,999,9999.0,16.2,15.3,999.0,99.0,99.00
2019,01,01,08,08,245,4.9,6.5,99.00,99.00,99.00,999,9999.0,16.3,15.3,999.0,99.0,99.00
2019,01,01,09,08,249,5.0,6.9,99.00,99.00,99.00,999,9999.0,16.0,15.3,999.0,99.0,99.00
2019,01,01,10,08,241,4.6,6.0,99.00,99.00,99.00,999,9999.0,15.7,15.2,999.0,99.0,99.00
2019,01,01,11,08,233,5.3,6.8,99.00,99.00,99.00,999,9999.0,15.9,15.1,999.0,99.0,99.00
2019,01,01,12,08,244,4.6,6.2,99.00,99.00,99.00,999,9999.0,15.8,15.1,999.0,99.0,99.00
2019,01,01,13,08,238,5.1,6.4,99.00,99.00,99.00,999,9999.0,15.8,15.3,999.0,99.0,99.00
2019,01,01,14,08,228,5.4,6.8,99.00,99.00,99.00,999,9999.0,16.0,15.3,999.0,99.0,99.00
2019,01,01,15,08,240,4.8,6.7,99.00,99.00,99.00,999,9999.0,16.0,15.3,999.0,99.0,99.00
2019,01,01,16,08,254,4.6,6.1,99.00,99.00,99.00,999,9999.0,16.3,15.4,999.0,99.0,99.00
2019,01,01,17,08,240,5.6,7.5,99.00,99.00,99.00,999,9999.0,16.3,15.6,999.0,99.0,99.00
2019,01,01,18,08,236,6.3,8.3,99.00,99.00,99.00,999,9999.0,16.3,15.7,999.0,99.0,99.00
2019,01,01,19,08,234,7.3,9.4,99.00,99.00,99.00,999,9999.0,16.6,15.9,999.0,99.0,99.00
2019,01,01,20,08,240,5.8,7.6,99.00,99.00,99.00,999,9999.0,16.9,15.9,999.0,99.0,99.00
2019,01,01,21,08,249,4.8,6.5,99.00,99.00,99.00,999,9999.0,16.4,16.2,999.0,99.0,99.00
2019,01,01,22,08,235,4.7,6.1,99.00,99.00,99.00,999,9999.0,16.4,16.3,999.0,99.0,99.00
2019,01,01,23,08,251,3.2,4.0,99.00,99.00,99.00,999,9999.0,16.2,16.0,999.0,99.0,99.00
2019,01,02,00,08,231,2.3,3.1,99.00,99.00,99.00,999,9999.0,16.0,16.0,999.0,99.0,99.00
2019,01,02,01,08,300,1.5,2.6,99.00,99.00,99.00,999,9999.0,15.9,16.0,999.0,99.0,99.00
2019,01,02,02,08,213,4.0,4.9,99.00,99.00,99.00,999,9999.0,16.2,15.6,999.0,99.0,99.00
2019,01,02,03,08,235,3.6,4.9,99.00,99.00,99.00,999,9999.0,16.0,15.2,999.0,99.0,99.00
2019,01,02,04,08,294,2.5,3.8,99.00,99.00,99.00,999,9999.0,15.7,15.3,999.0,99.0,99.00
2019,01,02,05,08,256,2.8,3.7,99.00,99.00,99.00,999,9999.0,15.8,14.7,999.0,99.0,99.00
2019,01,02,06,08,243,4.1,5.5,99.00,99.00,99.00,999,9999.0,16.0,14.7,999.0,99.0,99.00
2019,01,02,07,08,246,2.5,3.8,99.00,99.00,99.00,999,9999.0,15.8,14.8,999.0,99.0,99.00
2019,01,02,08,08,254,3.5,4.5,99.00,99.00,99.00,999,9999.0,15.9,14.9,999.0,99.0,99.00
2019,01,02,09,08,234,2.3,3.5,99.00,99.00,99.00,999,9999.0,15.5,15.1,999.0,99.0,99.00
2019,01,02,10,08,238,3.4,4.4,99.00,99.00,99.00,999,9999.0,15.4,15.2,999.0,99.0,99.00
2019,01,02,11,08,255,2.3,3.3,99.00,99.00,99.00,999,9999.0,15.5,15.3,999.0,99.0,99.00
2019,01,02,12,08,243,2.9,3.7,99.00,99.00,99.00,999,9999.0,15.4,15.4,999.0,99.0,99.00
2019,01,02,21,08,62,5.1,6.8,99.00,99.00,99.00,999,1019.3,14.9,15.5,999.0,99.0,99.00
2019,01,02,22,08,42,5.8,7.5,99.00,99.00,99.00,999,1019.6,14.4,15.7,999.0,99.0,99.00
2019,01,02,23,08,72,5.7,7.3,99.00,99.00,99.00,999,1019.2,14.4,15.6,999.0,99.0,99.00
2019,01,03,00,08,53,5.8,7.5,99.00,99.00,99.00,999,1018.9,14.3,15.6,999.0,99.0,99.00
2019,01,03,01,08,66,5.2,7.3,99.00,99.00,99.00,999,1019.3,14.4,15.6,999.0,99.0,99.00
2019,01,03,02,08,61,3.9,5.3,99.00,99.00,99.00,999,1019.1,14.5,15.7,999.0,99.0,99.00
2019,01,03,03,08,57,3.2,4.7,99.00,99.00,99.00,999,1018.6,14.6,15.8,999.0,99.0,99.00
2019,01,03,04,08,152,3.8,5.2,99.00,99.00,99.00,999,1017.6,15.0,15.7,999.0,99.0,99.00
2019,01,03,05,08,180,1.3,2.4,99.00,99.00,99.00,999,1016.4,14.7,15.7,999.0,99.0,99.00
2019,01,03,06,08,147,1.6,2.3,99.00,99.00,99.00,999,1016.4,14.5,15.5,999.0,99.0,99.00
2019,01,03,07,08,311,2.6,3.8,99.00,99.00,99.00,999,1017.3,14.4,15.7,999.0,99.0,99.00
